the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.96472502984517 40.76906797830742),701,1042480,1034296,,N,1,V,1,10021,04/06/2009 12:00:00 AM +0000,09/29/2015 12:00:00 AM +0000,PARK,,,81630,,,,AVE,,,PARK AVE
POINT (-73.95943650261951 40.7778524379114),960,1046759,1062292,,N,1,V,1,10028,04/06/2009 12:00:00 AM +0000,09/29/2015 12:00:00 AM +0000,PARK,,,89913,,,,AVE,,,PARK AVE
POINT (-73.97727186072865 40.75016782385385),350,1019491,1021569,,N,2,V,1,10016,04/06/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,LEXINGTON,,,23411,,,,AVE,,,LEXINGTON AVE
POINT (-73.91101142520691 40.81994505650899),753,2096557,2002408,A,R,2,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,753,D,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.91109027978206 40.819956743530696),755,2096558,2002410,A,R,2,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,755,D,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.91083192182141 40.819903210798216),749,2096555,2002404,A,R,2,V,2,10451,03/16/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST ANNS,749,D,100810,,,,AVE,,,ST ANNS AVE
POINT (-73.98124588517352 40.74965372903523),233,1017198,1020276,,N,1,V,1,10016,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,MADISON,,,23427,,,,AVE,,,MADISON AVE
POINT (-73.9790597115872 40.749523835885945),67,1019122,1021471,,N,1,V,1,10016,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,PARK,,,4133,,,,AVE,,,PARK AVE
POINT (-73.9573935698764 40.779215385532346),1015,1047698,1037577,,N,2,V,1,10028,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,PARK,,,19541,,,,AVE,,,PARK AVE
POINT (-73.96648924257603 40.789790443715376),327,1031638,1028339,,N,1,V,1,10025,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,CENTRAL PARK,,,23391,,,,,W,,CENTRAL PARK  W
